UTC00,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2020-11-08T23:39:13.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:14.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:15.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:16.00,46.5100,-122.5687,0,0,0
2020-11-08T23:39:17.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:18.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:19.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:20.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:21.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:22.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:23.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:24.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:25.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:26.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:27.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:28.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:29.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:30.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:31.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:32.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:33.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:34.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:35.00,46.5101,-122.5687,0,0,0
2020-11-08T23:39:36.00,46.5101,-122.5688,0,0,0
2020-11-08T23:39:37.00,46.5101,-122.5688,0,0,0
2020-11-08T23:39:38.00,46.5101,-122.5688,0,0,0
2020-11-08T23:39:39.00,46.5101,-122.5688,0,0,0
2020-11-08T23:39:40.00,46.5101,-122.5688,0,0,0
2020-11-08T23:39:41.00,46.5101,-122.5688,0,0,0
2020-11-08T23:39:42.00,46.5101,-122.5688,0,0,0
2020-11-08T23:39:43.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:44.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:45.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:46.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:47.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:48.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:49.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:50.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:51.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:52.00,46.5102,-122.5688,0,0,0
2020-11-08T23:39:53.00,46.5102,-122.5688,0,0,0
